layer,n,script_mean,noise_mean,mean_difference,wilcoxon_statistic,p_value,rank_biserial_r,p_holm,significant_holm,script_noise_ratio
2,50,0.09903941493,0.053158452756,0.045880962174000006,0.0,1.7763568394002505e-15,1.0,5.329070518200751e-15,True,1.8630981489358982
6,50,0.07804522179500001,0.050139587308,0.027905634486999998,1.0,3.552713678800501e-15,0.96,5.329070518200751e-15,True,1.5565589185164181
12,50,0.0080402612595,0.0043706827232,0.0036695785363,0.0,1.7763568394002505e-15,1.0,5.329070518200751e-15,True,1.8395893201813822
