effect,layer,gender_n,non_gender_n,gender_mean,non_gender_mean,mean_difference,mann_whitney_U,p_value,rank_biserial_r,p_holm,significant_holm
Script Shift,2,10,40,0.10047623,0.09868021,0.0017960146,189.0,0.7989838545022188,-0.055,1.0,False
Script Shift,6,10,40,0.080876194,0.07733748,0.0035387129,255.0,0.1862283777799188,0.2749999999999999,1.0,False
Script Shift,12,10,40,0.008142349,0.0080147395,0.00012760982,211.0,0.7989838545022188,0.0549999999999999,1.0,False
Noise Shift,2,10,40,0.054579426,0.052803207,0.0017762184,228.0,0.5047893998331201,0.1399999999999999,1.0,False
Noise Shift,6,10,40,0.04918359,0.050378583,-0.0011949949,200.0,1.0,0.0,1.0,False
Noise Shift,12,10,40,0.004262439,0.004397744,-0.00013530487,190.0,0.8177740896670203,-0.05,1.0,False
